antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
DX=V5789,los_10+,0.02656534954407295,0.118419452887538,0.015212765957446809,0.5726544622425629,4.835814119040123,0.012066911798671483,2.0629220834706605
"DX=V5789, pmt_very_high",los_10+,0.01913373860182371,0.118419452887538,0.01082066869300912,0.5655281969817315,4.775635955004868,0.00855486183608799,2.029085756516617
"DX=V5789, PRC=Unknown",los_10+,0.018085106382978722,0.118419452887538,0.010151975683890577,0.561344537815126,4.740306800338205,0.008010347280605314,2.009733431156762
DX=V5789,pmt_very_high,0.02656534954407295,0.23785714285714285,0.01913373860182371,0.7202517162471397,3.028085293531518,0.012814980460269215,2.724387963774468
"DX=V5789, PRC=Unknown",pmt_very_high,0.018085106382978722,0.23785714285714285,0.012933130699088146,0.7151260504201682,3.0065359477124187,0.00863145896656535,2.675368731563423
"DX=V5789, los_10+",pmt_very_high,0.015212765957446809,0.23785714285714285,0.01082066869300912,0.7112887112887113,2.9904029904029907,0.007202203647416414,2.6398096885813147
"SOLO_PHYSICIAN, los_10+",pmt_very_high,0.02276595744680851,0.23785714285714285,0.012750759878419452,0.5600801068090787,2.3546911397378687,0.007335714285714285,1.7324582701062212
PRC=66,pmt_very_high,0.020030395136778116,0.23785714285714285,0.010379939209726444,0.5182094081942337,2.17865817258837,0.005615566652192793,1.5818965129358828
los_10+,pmt_very_high,0.118419452887538,0.23785714285714285,0.06065349544072948,0.5121919917864476,2.153359725228308,0.03248658271819366,1.5623828315856727
PRC=66,los_1-2,0.020030395136778116,0.26396656534954405,0.010729483282674772,0.5356600910470409,2.029272496453181,0.005442128675825242,1.585117756322387
PRC=8154,los_3-5,0.024224924012158054,0.37740121580547115,0.018389057750759878,0.7590966122961105,2.0113782905441977,0.009246541975776276,2.584433494807498
DX=71536,los_3-5,0.017188449848024315,0.37740121580547115,0.01264437689969605,0.7356321839080461,1.9492045947388326,0.0061574350292403065,2.355047574996697
"PRC=Unknown, los_1-2",pmt_low,0.13306990881458966,0.2827355623100304,0.07296352583586627,0.5483097304705346,1.939302314822682,0.03533993034062879,1.5879563631892224
DX=49121,PRC=Unknown,0.023753799392097263,0.42834346504559273,0.01805471124620061,0.7600767754318619,1.774456335760742,0.007879926506591774,2.3826644376899706
"DX=486, los_3-5",PRC=Unknown,0.017036474164133737,0.42834346504559273,0.012933130699088146,0.7591436217662801,1.7722778184218992,0.005635668323463383,2.373433243273669
DX=5990,PRC=Unknown,0.022127659574468085,0.42834346504559273,0.0156838905775076,0.7087912087912088,1.6547263274245712,0.006205652202030653,1.9630469690887196
"DX=486, pmt_med",PRC=Unknown,0.017188449848024315,0.42834346504559273,0.012127659574468085,0.7055702917771883,1.6472068546723075,0.004765099407802958,1.9415721952955995
DX=V5789,PRC=Unknown,0.02656534954407295,0.42834346504559273,0.018085106382978722,0.6807780320366132,1.58932746169981,0.006706012509123158,1.7907806865596843
"los_1-2, pmt_low",PRC=Unknown,0.1075531914893617,0.42834346504559273,0.07296352583586627,0.6783948000565212,1.5837636275933686,0.026893819116600923,1.7775102363235242
DX=486,PRC=Unknown,0.03775075987841945,0.42834346504559273,0.025577507598784195,0.6775362318840581,1.581759235691716,0.009407216304357868,1.772777569072095
"DX=V5789, pmt_very_high",PRC=Unknown,0.01913373860182371,0.42834346504559273,0.012933130699088146,0.6759332803812549,1.5780170249808965,0.004737318807106363,1.7640087684009769
"DX=V5789, los_10+",PRC=Unknown,0.015212765957446809,0.42834346504559273,0.010151975683890577,0.6673326673326673,1.5579382476668264,0.003635686800750176,1.7184029774455303
"los_3-5, pmt_low",PRC=Unknown,0.11156534954407295,0.42834346504559273,0.07234042553191489,0.6484130227489442,1.5137689159794403,0.024552137129183943,1.625932050794383
pmt_low,PRC=Unknown,0.2827355623100304,0.42834346504559273,0.1806838905775076,0.6390561169640938,1.4919245164533395,0.0595759601260151,1.5837823047344446
DX=4280,PRC=Unknown,0.022279635258358663,0.42834346504559273,0.013693009118541034,0.6145975443383356,1.4348241411198326,0.004149672952023724,1.4832716464480726
DX=42731,PRC=Unknown,0.019088145896656535,0.42834346504559273,0.011322188449848024,0.5931528662420382,1.3847599289950723,0.0031459058951783508,1.4050892522558425
"DX=486, PRC=Unknown",los_3-5,0.025577507598784195,0.37740121580547115,0.012933130699088146,0.5056446821152704,1.3398067121646513,0.0032801482340333137,1.2594155694704232
"los_3-5, pmt_med",PRC=Unknown,0.11106382978723404,0.42834346504559273,0.06319148936170213,0.5689655172413793,1.328292745591015,0.01561802366940438,1.326243161094225
"los_6-10, pmt_low",PRC=Unknown,0.038480243161094226,0.42834346504559273,0.020425531914893616,0.5308056872037914,1.2392057554731053,0.003942771223473543,1.2183790795492921
"los_1-2, pmt_med",PRC=Unknown,0.0774468085106383,0.42834346504559273,0.040623100303951366,0.5245290423861853,1.2245524565907748,0.0074492659897820585,1.2022953785091455
pmt_med,PRC=Unknown,0.26683890577507596,0.42834346504559273,0.13948328267477203,0.5227246839047728,1.2203400461569647,0.02518458116610156,1.1977500525930171
los_1-2,PRC=Unknown,0.26396656534954405,0.42834346504559273,0.13306990881458966,0.5041165294490184,1.1768979115751432,0.020001555556582076,1.1528041745760016
